State_County,Edu_Less_than_HS_2017_21,Edu_HS_diploma_2017_21,Edu_Some_college_2017_21,Edu_Bachelor_or_higher_2017_21,Crime_Rate,Income_Mean,Race_Hispanic,Race_White,Race_Black,Race_Native,Race_Asian,Race_Pacific
PA_Beaver_County,5.5,36.7,31.9,25.9,319.1958381,45667.0,1.5,89.7,5.9,0.0,0.5,0.0
PA_Bedford_County,10.5,49.7,24.0,15.8,250.7389665,45481.5,1.1,96.9,0.4,0.1,0.2,0.0
PA_Berks_County,12.5,36.5,25.1,25.9,331.7848429,73072.25,19.6,73.2,4.1,0.1,1.4,0.0
PA_Blair_County,7.6,44.5,24.7,23.2,254.1286002,43819.0,1.2,94.8,1.5,0.0,0.7,0.0
PA_Bradford_County,9.8,47.5,23.2,19.5,146.0299121,56064.5,1.4,96.1,0.6,0.1,0.6,0.0
PA_Bucks_County,5.5,27.7,23.8,42.9,102.396264,90875.0,5.0,84.8,3.8,0.2,4.5,0.0
PA_Butler_County,4.5,31.3,26.0,38.2,113.2221959,53989.0,1.4,95.0,0.9,0.1,1.1,0.0
PA_Cambria_County,7.5,44.1,26.0,22.4,226.3361305,54274.666666666664,1.5,93.0,3.2,0.0,0.5,0.0
PA_Cameron_County,7.6,52.0,29.8,10.6,184.1997544,53136.0,0.8,96.6,1.1,0.2,0.4,0.0
PA_Carbon_County,9.7,44.9,27.7,17.7,263.9459142,57734.5,4.3,92.4,1.7,0.0,0.5,0.0
PA_Centre_County,5.6,28.2,20.3,45.9,97.81020958,58691.75,2.8,85.8,3.6,0.1,6.0,0.0
PA_Chester_County,5.5,19.8,19.4,55.2,162.3261912,97397.5,7.2,80.2,5.7,0.1,4.9,0.0
PA_Clarion_County,9.6,47.6,20.8,22.1,153.2371345,49568.0,0.8,96.3,1.0,0.2,0.5,0.0
PA_Clearfield_County,11.4,47.4,22.9,18.4,304.2846232,42380.25,2.9,93.1,2.5,0.2,0.6,0.0
PA_Columbia_County,8.9,44.0,22.3,24.8,127.2512239,54667.75,2.6,93.4,1.8,0.1,1.2,0.0
PA_Crawford_County,9.7,47.2,22.8,20.2,92.70280168,56772.25,1.2,95.1,1.9,0.1,0.4,0.0
PA_Cumberland_County,6.7,31.6,23.4,38.2,75.45229922,48647.0,3.5,86.9,3.5,0.1,4.0,0.0
PA_Dauphin_County,9.1,32.9,25.8,32.3,525.2143487,54646.0,8.5,67.1,17.7,0.1,3.9,0.0
PA_Erie_County,8.3,37.3,25.6,28.8,247.9539341,54665.5,4.0,84.8,6.8,0.2,1.6,0.0
